GeneID	GSM2466364	GSM2466365	GSM2466366	GSM2466367	GSM2466368	GSM2466369	GSM2466370	GSM2466371	GSM2466372	GSM2466373	GSM2466374	GSM2466375	GSM2466376	GSM2466377	GSM2466378
100287102	0.1824	0.1179	0.3025	0.3343	0.09919	0.06747	0.2454	0.2029	0.506	0.2069	0.7394	0.3742	0.2927	0.4811	0.4368
653635	18.88	17.23	22.38	21.9	18.4	15.66	24.57	21.57	31.28	27.86	38.18	29.4	21.55	24.96	35.78
102466751	8.122	7.876	10.29	11.5	12.05	5.737	7.154	9.039	12.29	13.07	9.509	7.955	7.11	9.563	12.74
107985730	0.09333	0.0905	0.0929	0.08554	0.1015	0.1036	0.1507	0.1039	0.4661	0.2541	0.5342	0.1436	0.1498	0.2686	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0.08846	0.04072	0.09667	0.04932	0	0.04945	0.07397	0	0	0.06839	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.6566	0.6964	1.328	1.467	1.105	1.036	0.7786	0.7307	1.52	1.271	1.674	1.674	0.7409	1.152	1.43
729737	1.789	1.565	3.031	3.01	1.686	1.334	2.992	2.317	5.054	3.834	5.355	3.459	3.003	4.158	4.166
102725121	0.1875	0.0909	0.2488	0.2864	0.06798	0.03468	0.3027	0.1739	0.7282	0.1702	0.8942	0.3847	0.3009	0.6295	0.4491
102723897	20.96	18.69	25.46	26.03	18.64	18.32	26.75	23.89	36.03	31.29	43.33	33.13	24.98	29.3	39.75
102465909	8.122	7.16	9.555	11.5	10.44	6.556	7.154	8.217	13.52	13.07	9.509	7.955	7.11	8.5	12.74
107985721	0.05567	0.03599	0.03694	0.03401	0.08074	0.02059	0.02996	0.06195	0.3398	0.3031	0.2921	0.1999	0.05956	0.1068	0
112268260	0.1066	0.1329	0.2198	0.2722	0.1574	0.2536	0.09838	0.09323	0.1648	0.2177	0.218	0.211	0.1222	0.1863	0.208
729759	0	0	0.05322	0.04901	0	0	0	0	0	0	0	0	0	0	0
100132287	2.597	2.273	3.923	3.959	2.437	1.275	3.896	3.171	7.211	5.1	7.053	4.934	3.835	5.77	5.598
105378947	0.02143	0.06234	0.08532	0.0982	0.02331	0.07136	0.0346	0.02385	0.03568	0.08753	0.06133	0.06597	0.03439	0.1542	0.0924
101928626	0.1888	0.122	0.06263	0.05767	0.1369	0	0	0	0	0	0.09004	0	0	0	0
113219467	5862	7663	2113	3484	5013	4872	5799	7283	8384	9521	8346	9450	4527	6721	2914
81399	0.02606	0.01685	0.04323	0.05573	0.0189	0.01928	0.01403	0.01934	0.02892	0.04731	0.02486	0.04011	0.02788	0.05	0.03746
100133331	3.384	2.552	5.345	5.439	3.259	1.513	4.44	3.413	7.668	5.503	7.751	5.1	4.432	6.645	6.029
107984841	1.952	1.735	3.67	3.876	2.3	1.204	3.24	2.293	6.409	4.282	6.44	2.838	3.307	4.838	3.117
107984847	3.727	3.714	6.08	7.211	3.266	1.953	7.021	5.185	13.62	13.67	17.18	6.533	8.307	13.56	8.63
107984849	1.255	0.6956	0.8925	1.15	1.365	0.5971	2.316	1.397	4.777	2.441	3.849	1.656	2.015	2.839	2.062
100288069	2.564	1.527	3.755	4.867	1.952	1.219	3.312	2.323	6.158	3.839	6.236	2.593	3.585	4.374	3
105378580	0.9088	0.7202	1.965	2.579	2.413	0.5749	1.041	0.4894	1.529	1.264	1.86	1.218	1.192	1.772	1.671
400728	0.3616	0.3506	0.5656	0.4971	6.294	0.5447	0.5005	0.5749	0.645	0.4571	0.4435	0.6361	0.2487	0.3717	0.594
79854	1.563	1.775	3.377	4.088	5.972	1.312	1.662	1.867	2.92	2.907	4.855	3.755	1.591	2.359	2.411
643837	1.648	1.767	2.863	3.618	10.83	3.235	1.423	1.943	1.086	2.058	1.004	1.892	1.606	1.197	1.79
107984850	0	0.03968	0.02037	0.0375	0.2448	0.04542	0	0.02277	0.03406	0.02786	0.08783	0.03149	0.03284	0.02944	0.02941
284593	0.2355	0.1427	0.293	0.4046	0.4162	0.3267	0.09505	0.131	0.245	0.1202	0.2527	0.2718	0.1417	0.2965	0.2115
284600	0.02603	0.5427	0.07773	0.3817	1.005	0.1011	0.04203	0.5214	0.1083	1.453	0.6146	1.663	0.1671	0.2622	0.09353
100130417	0.06668	0.3233	0.1327	0.3056	0.3264	0.259	0.1077	0.2597	0.7216	1.77	0.811	1.539	0.214	0.7676	0.1917
107985728	0	0	0.01371	0.01262	0.02996	0.4738	0	0	0.2751	0.525	0.2956	0.3391	0	0.07927	0.03959
148398	3.692	2.552	3.85	5.759	6.643	4.73	4.693	4.261	3.106	2.62	3.203	3.294	3.971	2.797	4.149
26155	65.75	50	73.71	98.56	87.94	66.42	72.58	70.94	46.87	39.52	52.9	57.55	66.52	43.79	56.98
339451	9.04	8.737	6.268	7.541	6.5	8.673	13.95	12.64	11.43	16.81	12.48	11.98	14.8	14.42	19.18
84069	0.1254	0.1459	0.4742	1.126	3.696	1.252	0.1822	0.1395	0.2296	0.4608	0.2512	0.6175	0.2012	0.3428	0.4505
84808	0.02778	0.04041	0.09678	0.2291	0.6044	0.1542	0.06728	0.03091	0.04625	0.2458	0.05963	0.171	0.1115	0.1599	0.2196
57801	10.96	17.6	21.97	22.63	0.08534	5.08	9.375	11.85	9.447	19.19	13.73	57.64	7.219	14.56	15.9
9636	18.6	13.07	44.96	51.22	57.53	92.39	22.53	22.54	14.3	38.2	19.74	32.27	22.26	31.99	25.49
375790	69.07	55.09	148.4	146.3	44.04	298.2	91.38	80.82	122.4	106	143.2	108.7	110	163.6	154
100288175	0.6702	0.5499	3.335	5.433	3.028	1.488	0.6659	0.5163	1.287	1.053	0.6639	0.8728	0.8273	1.335	4.371
112267874	0.03715	0.05404	0.1849	0.3745	0.1212	0.1237	0.05999	0.124	0.1237	0.1012	0.1861	0.08577	0.08944	0.1604	0.2937
105378948	0.2407	0.3168	0.9585	1.592	0.7669	0.4581	0.4443	0.421	1.059	0.515	0.9842	0.5823	0.5519	1.015	2.224
401934	0	0	0.0263	0.07266	0.05749	0	0	0	0.04399	0.1439	0.03781	0	0.04241	0.2662	0.1519
54991	12.16	9.79	16.46	19.13	8.826	7.791	13.7	11.58	9.968	9.894	12.94	8.739	15.08	12.15	11.13
254099	0	0.03006	0	0	0	0	0	0.03449	0	0.3376	0	0.0477	0.1492	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
